group,params,tokens,log_params,log_tokens,loss
question_1309,1400000000.0,300000000000.0,21.059738073567623,26.42704831160261,1.494140625
question_1309,12000000000.0,300000000000.0,23.208172486734412,26.42704831160261,1.58203125
question_1309,14000000.0,300000000000.0,16.454567887579532,26.42704831160261,6.7578125
question_1309,160000000.0,300000000000.0,18.890684373198102,26.42704831160261,4.953125
question_1309,1000000000.0,300000000000.0,20.72326583694641,26.42704831160261,1.201171875
question_1309,2800000000.0,300000000000.0,21.75288525412757,26.42704831160261,1.583984375
question_1309,31000000.0,300000000000.0,17.24949776244942,26.42704831160261,6.60546875
question_1309,410000000.0,300000000000.0,19.83166771766263,26.42704831160261,1.619140625
question_1309,6900000000.0,300000000000.0,22.654787248549624,26.42704831160261,1.9189453125
question_1309,70000000.0,300000000000.0,18.064005800013632,26.42704831160261,6.9375
question_1309,1300000000.0,180000000000.0,20.985630101413904,25.916222687836623,1.4091796875
question_1309,125000000.0,180000000000.0,18.643824295266576,25.916222687836623,4.265625
question_1309,13000000000.0,180000000000.0,23.288215194407947,25.916222687836623,1.478515625
question_1309,2700000000.0,180000000000.0,21.716517609956693,25.916222687836623,1.7890625
question_1309,350000000.0,180000000000.0,19.67344371244773,25.916222687836623,2.224609375
question_1309,6700000000.0,180000000000.0,22.625373363343332,25.916222687836623,1.634765625
